collision_index,food_density
2025010560046,13
2025010560048,4
2025010560051,28
2025010560053,17
2025010560057,2
2025010560059,33
2025010560065,7
2025010560076,38
2025010560084,115
2025010560086,14
2025010560093,18
2025010560096,93
2025010560097,18
2025010560100,71
2025010560126,55
2025010560131,4
2025010560145,44
2025010560147,44
2025010560151,1
2025010560154,102
2025010560162,9
2025010560175,23
2025010560181,34
2025010560182,8
2025010560208,8
2025010560221,67
2025010560223,39
2025010560236,22
2025010560257,114
2025010560258,31
2025010560292,22
2025010560296,26
2025010560306,12
2025010560307,31
2025010560312,23
2025010560313,15
2025010560323,9
2025010560326,174
2025010560331,3
2025010560337,3
2025010560339,4
2025010560341,5
2025010560342,1
2025010560352,12
2025010560353,28
2025010560355,1
2025010560358,40
2025010560360,50
2025010560361,65
2025010560366,1
2025010560372,7
2025010560384,39
2025010560392,47
2025010560393,27
2025010560401,8
2025010560413,414
2025010560417,16
2025010560419,92
2025010560424,23
2025010560431,128
2025010560432,66
2025010560444,1
2025010560445,7
2025010560447,22
2025010560450,46
2025010560456,3
2025010560460,34
2025010560466,7
2025010560474,7
2025010560475,1
2025010560495,12
2025010560500,8
2025010560504,17
2025010560519,1
2025010560524,18
2025010560527,4
2025010560539,11
2025010560540,5
2025010560543,6
2025010560557,66
2025010560560,50
2025010560571,3
2025010560578,16
2025010560598,5
2025010560599,4
2025010560613,81
2025010560616,4
2025010560627,13
2025010560637,90
2025010560640,2
2025010560644,8
2025010560651,55
2025010560667,1
2025010560673,1
2025010560678,4
2025010560687,10
2025010560692,100
2025010560693,1
2025010560697,22
2025010560698,18
2025010560707,1
2025010560709,33
2025010560713,13
2025010560717,10
2025010560721,52
2025010560722,40
2025010560723,29
2025010560734,4
2025010560737,15
2025010560744,8
2025010560747,2
2025010560754,2
2025010560764,1
2025010560779,3
2025010560796,1
2025010560819,39
2025010560839,14
2025010560850,1
2025010560852,11
2025010560863,4
2025010560869,1
2025010560877,45
2025010560878,135
2025010560896,6
2025010560906,11
2025010560914,81
2025010560916,4
2025010560918,23
2025010560933,5
2025010560934,69
2025010560936,11
2025010560937,30
2025010560940,5
2025010560955,15
2025010560957,9
2025010560958,33
2025010560964,34
2025010560967,13
2025010560969,91
2025010560976,7
2025010560984,16
2025010560988,198
2025010560990,14
2025010560992,1
2025010560993,16
2025010560997,16
2025010561000,4
2025010561001,1
2025010561004,5
2025010561006,68
2025010561015,9
2025010561016,5
2025010561025,464
2025010561029,65
2025010561034,1
2025010561039,92
2025010561042,6
2025010561044,1
2025010561045,28
2025010561046,27
2025010561049,1
2025010561050,6
2025010561055,190
2025010561059,6
2025010561060,20
2025010561065,134
2025010561079,6
2025010561083,11
2025010561086,1
2025010561095,49
2025010561097,1
2025010561107,54
2025010561122,1
2025010561124,6
2025010561129,14
2025010561130,30
2025010561150,11
2025010561153,1
2025010561154,29
2025010561157,78
2025010561164,1
2025010561174,41
2025010561178,3
2025010561180,24
2025010561186,2
2025010561208,35
2025010561232,1
2025010561244,44
2025010561246,19
2025010561254,20
2025010561256,106
2025010561261,23
2025010561262,1
2025010561264,13
2025010561265,54
2025010561269,7
2025010561277,74
2025010561290,5
2025010561292,7
2025010561301,10
2025010561304,42
2025010561311,20
2025010561316,135
2025010561325,3
2025010561328,70
2025010561331,16
2025010561336,65
2025010561337,44
2025010561341,46
2025010561357,8
2025010561358,284
2025010561364,35
2025010561387,1
2025010561390,22
2025010561398,4
2025010561404,80
2025010561405,1
2025010561423,1
2025010561440,19
2025010561443,50
2025010561446,2
2025010561447,7
2025010561450,14
2025010561453,20
2025010561455,20
2025010561461,60
2025010561468,6
2025010561474,24
2025010561478,1
2025010561488,170
2025010561494,1
2025010561496,1
2025010561499,2
2025010561501,1
2025010561504,48
2025010561517,1
2025010561530,63
2025010561536,16
2025010561537,1
2025010561538,10
2025010561541,82
2025010561549,24
2025010561558,45
2025010561564,23
2025010561565,34
2025010561568,1
2025010561570,70
2025010561583,5
2025010561608,51
2025010561617,20
2025010561623,1
2025010561624,1
2025010561633,26
2025010561644,46
2025010561649,111
2025010561650,1
2025010561669,4
2025010561672,14
2025010561682,15
2025010561685,11
2025010561694,67
2025010561698,8
2025010561700,1
2025010561704,15
2025010561710,21
2025010561711,22
2025010561714,78
2025010561730,100
2025010561741,64
2025010561750,1
2025010561752,24
2025010561759,1
2025010561763,2
2025010561766,47
2025010561769,1
2025010561793,1
2025010561820,10
2025010561824,8
2025010561833,23
2025010561841,34
2025010561846,77
2025010561853,5
2025010561874,48
2025010561878,4
2025010561907,59
2025010561910,37
2025010561913,1
2025010561925,1
2025010561929,33
2025010561933,6
2025010561944,54
2025010561985,13
2025010561995,6
2025010561996,1
2025010562004,17
2025010562011,5
2025010562018,2
2025010562020,3
2025010562022,48
2025010562026,3
2025010562034,2
2025010562044,108
2025010562050,5
2025010562052,1
2025010562076,5
2025010562077,33
2025010562079,10
2025010562084,12
2025010562109,92
2025010562110,6
2025010562127,4
2025010562128,25
2025010562131,30
2025010562133,60
2025010562134,13
2025010562135,1
2025010562148,2
2025010562152,5
2025010562155,7
2025010562157,6
2025010562159,31
2025010562186,10
2025010562188,45
2025010562190,261
2025010562195,42
2025010562210,27
2025010562213,5
2025010562217,38
2025010562219,94
2025010562227,5
2025010562236,8
2025010562241,8
2025010562242,1
2025010562244,6
2025010562255,15
2025010562260,1
2025010562266,2
2025010562288,74
2025010562289,54
2025010562296,2
2025010562302,3
2025010562306,2
2025010562309,67
2025010562323,2
2025010562327,2
2025010562346,41
2025010562354,5
